RK_Category,RK_SubCategory,TicketCount,MedianResolutionHours,AverageFirstResponseHours,ReportedSLABreachRate,EscalationRate,AverageCSAT
Account & Access,Account Suspension,6682,119.78,36.18203831188267,0.5016462137084705,0.4833882071236157,2.974904361132364
Account & Access,Login Issue,6790,119.29,36.72650073637703,0.5035346097201767,0.5023564064801178,2.997141997593261
"Billing, Payments & Subscription",Payment Problem,6666,120.595,36.41299729972997,0.5015001500150015,0.5064506450645064,2.995102540557086
"Billing, Payments & Subscription",Refund Request,6786,119.275,36.97745505452402,0.4941055113468907,0.5089890951959918,2.9972928259888705
"Billing, Payments & Subscription",Subscription Cancellation,6784,122.83500000000001,36.37266214622642,0.4936615566037736,0.49351415094339623,3.0105342362678704
Product Improvement,Feature Request,6745,119.06,36.34949740548554,0.5123795404002965,0.5083765752409192,3.0306553911205074
Product Reliability & Defects,Bug Report,6696,120.725,36.34726702508961,0.4938769414575866,0.5068697729988052,2.982592762253779
Product Reliability & Defects,Data Sync Issue,6662,119.935,36.12260882617833,0.49714800360252176,0.5024016811768238,3.009342931536223
Product Reliability & Defects,Performance Issue,6741,121.0,36.54446669633585,0.5113484646194927,0.5030410918261385,2.995610715907371
Security & Privacy,Security Concern,6615,122.17,36.191685563114135,0.5030990173847316,0.5157974300831444,3.0115437894412804
